ID,Name,Begin date,End date,Duration,Completion,Web Link,Resources,Notes,

0,"  Analysis",16/01/12,31/01/12,11,0,"","","",
1,"    Incidents",16/01/12,21/01/12,5,0,"","Renat;Adel;Alex;Artem;Bulat","",
2,"    Workbook articles",23/01/12,31/01/12,6,0,"","Renat;Adel;Alex;Artem;Bulat","",
5,"  Design Emotion Machine",23/01/12,15/03/12,38,0,"","","",
6,"    Inbound textual description",23/01/12,24/01/12,1,0,"","Alex","",
7,"    Internal knowledge(atom) representations",23/01/12,02/02/12,8,0,"","Max","",
8,"    Formalization outbound structures",02/02/12,10/02/12,6,0,"","Max","",
9,"    Design Solution HowTo-s",24/01/12,15/02/12,16,0,"","Alex","",
10,"    Design Critics",10/02/12,28/02/12,12,0,"","Max","",
11,"    Design Selector",15/02/12,02/03/12,12,0,"","Alex","",
12,"    Design Way2Think",28/02/12,15/03/12,12,0,"","Max","",
13,"  Analysis and design",15/03/12,16/03/12,1,0,"","Alex","",
15,"  OpenCog prototype",31/01/12,14/03/12,31,0,"","","",
16,"    CogBuntu",31/01/12,03/02/12,3,0,"","","",
17,"      Red documentation",31/01/12,01/02/12,1,0,"","Renat;Adel;Alex;Artem;Bulat","",
18,"      Install CogBuntu",01/02/12,03/02/12,2,0,"","Renat;Adel;Alex;Artem;Bulat","",
19,"    AtomSpace Analysis",03/02/12,06/03/12,22,0,"","Artem","",
20,"      Read documentation",03/02/12,07/02/12,2,0,"","Artem","",
21,"      Test storage using Cookbook",07/02/12,11/02/12,4,0,"","","",
22,"      Test storage usability for knowledge representation",13/02/12,06/03/12,16,0,"","","",
23,"    Probability Logic Engines analysis",03/02/12,06/03/12,22,0,"","Renat","",
24,"      PLN analysis",03/02/12,11/02/12,6,0,"","","",
25,"        Read documentation",03/02/12,07/02/12,2,0,"","","",
26,"        Test PLN using NARS data",07/02/12,11/02/12,4,0,"","","",
27,"      Bayesian inference",13/02/12,06/03/12,16,0,"","","",
28,"    Embodiment",03/02/12,14/03/12,28,0,"","Adel","",
29,"      Read documentation",03/02/12,15/02/12,8,0,"","","",
30,"      Test embodiment system to simulate Intellix",15/02/12,14/03/12,20,0,"","","",
32,"    Natural language processors",03/02/12,29/02/12,18,0,"","Bulat","",
31,"      RelEx",03/02/12,15/02/12,8,0,"","","",
33,"      Stanford Parser",15/02/12,21/02/12,4,0,"","","",
34,"      OpenNLP",21/02/12,29/02/12,6,0,"","","",
183,"  OpenCog analysis",14/03/12,15/03/12,1,0,"","","",
35,"  System Training prototype",29/02/12,23/05/12,60,0,"","","",
36,"    MOSES",29/02/12,24/03/12,18,0,"","Bulat","",
37,"    Bayesian network",06/03/12,28/03/12,16,0,"","Artem","",
38,"    Training",02/03/12,29/03/12,19,0,"","","",
39,"      Training data structures",02/03/12,29/03/12,19,0,"","","",
40,"        Incident description",02/03/12,03/03/12,1,0,"","Alex","",
41,"        Incident category",05/03/12,06/03/12,1,0,"","Alex","",
42,"        Incident formalized description",15/03/12,29/03/12,10,0,"","Max","",
44,"          Model",15/03/12,29/03/12,10,0,"","Max","",
46,"        Incident solution(Migrate HowTo approach",06/03/12,20/03/12,10,0,"","Alex","",
47,"    Create formalized description generalisation mechanism",06/03/12,27/04/12,38,0,"","","",
48,"      Create common parts selector and variable introducer",06/03/12,27/04/12,38,0,"","","",
49,"        Comparator",06/03/12,14/03/12,6,0,"","Renat","",
50,"        Recursive runner",14/03/12,24/03/12,8,0,"","Renat","",
51,"        Variable introducer",29/03/12,27/04/12,21,0,"","","",
52,"          Design variable structure",29/03/12,04/04/12,4,0,"","Max","",
53,"          Implement and test variable",04/04/12,14/04/12,8,0,"","Max","",
54,"          Named variables builder",16/04/12,26/04/12,8,0,"","Max","",
55,"          Unnamed variables builder",17/04/12,27/04/12,8,0,"","Adel","",
